1,978,3,14,coaching,1990-3-23,174254094,994402775,249
2,142,7,342,falls,2003-3-12,245571927,104785756,379
3,190,5,992,frequently,1991-11-13,238294744,301304222,314
4,529,5,888,caused,2012-4-17,157166341,333329039,240
5,74,3,530,lab,2019-4-26,73779552,931751988,462
6,610,7,964,static,1994-6-9,149921155,620810209,433
7,920,9,836,opportunity,1999-6-1,175298425,225003919,414
8,95,8,116,just,1996-12-23,33861129,954630091,442
9,53,9,692,parks,1991-2-23,41594570,801239185,335
10,281,5,917,stable,2004-6-3,8675086,717745362,251
11,537,5,252,img,2006-9-28,119216075,777765668,378
12,483,5,211,ownership,2005-8-11,11311524,612777883,285
13,570,6,72,lecture,2015-1-5,45366794,61627917,306
14,779,6,3,gender,1999-4-11,73014959,629054603,358
15,459,5,465,gas,2005-3-2,152712901,690065188,368
16,773,6,808,password,1997-7-15,82357844,846851497,284
17,988,9,656,characters,1997-2-28,249075957,185729577,178
18,106,8,873,citizen,2013-7-3,181444701,142593571,387
19,838,7,874,holds,2004-7-18,203952056,601427898,253
20,52,2,223,yours,1996-2-27,21599791,632775036,319
21,674,9,415,acute,2016-4-23,31897147,135388649,244
22,682,5,120,philips,2016-11-4,149779335,267029995,320
23,341,1,395,comprehensive,2009-9-12,159707222,501145048,196
24,167,2,654,diversity,2016-6-23,51934684,150589414,163
25,554,7,369,outsourcing,1991-12-22,113733489,795503487,400
26,697,6,93,whole,2001-7-4,192794543,184099267,240
27,192,5,586,par,2011-5-13,180916416,574415064,411
28,522,9,362,jury,1997-10-22,114904258,336187872,382
29,438,8,97,specialists,2014-8-13,68914928,887181364,154
30,457,4,297,campus,1998-4-21,153758547,978208465,384
31,982,4,360,input,2018-12-26,113861684,237829502,386
32,810,5,519,recognized,2002-8-7,197840522,781915159,162
33,605,2,934,paragraph,2017-2-11,96651244,603570145,455
34,713,7,337,happens,2002-8-10,207593512,395499690,327
35,579,5,338,white,2006-8-8,18366553,332118500,224
36,359,9,156,drink,2003-4-3,55525573,753009357,159
37,243,3,238,then,2013-5-23,38281956,682033158,405
38,517,4,31,bb,2012-10-11,212509890,83294535,225
39,145,2,597,glance,2012-1-6,210173925,454494983,299
40,801,8,967,licensing,2000-6-3,64169421,682336407,179
41,131,9,746,vehicle,2015-12-28,162481687,600306943,208
42,414,8,347,immediately,1995-12-27,152931737,144047662,493
43,845,2,756,charter,2000-1-18,223486500,296704008,273
44,193,2,30,grants,1995-9-23,86710358,55341034,184
45,666,3,866,yield,2017-10-12,206346013,38081839,395
46,360,5,833,is,2017-12-21,234236555,269695149,471
47,870,4,81,jason,1995-4-4,3345563,269788217,356
48,322,3,472,empty,1996-11-2,114052515,873430411,406
49,250,6,635,anyone,2020-12-22,116123789,731351013,164
50,840,2,981,disabilities,2001-2-26,134027901,104944278,305
51,490,7,404,ak,2009-11-2,181805710,39961606,294
52,477,6,206,transfers,2008-9-5,141077222,193481494,360
53,327,2,836,disaster,2003-8-13,137769198,116994839,223
54,423,4,841,hiking,2001-1-14,54614303,194704745,227
55,208,8,407,india,2007-2-14,213736259,330418749,342
56,702,1,828,va,1996-4-28,183652577,446126489,268
57,122,6,771,compact,2006-4-3,210696919,871315765,413
58,949,8,279,vinyl,2007-11-11,226421311,797117190,289
59,862,7,751,lake,2011-12-14,195455550,440836996,285
60,720,5,878,products,2020-1-26,139734975,89935842,291
61,133,8,550,radar,2020-1-27,138937784,987639746,285
62,128,4,109,trace,2020-3-22,37147615,481648072,254
63,66,7,68,accident,1998-9-2,206700264,598228500,407
64,294,9,105,moderate,2010-4-1,191949895,265228299,377
65,272,4,175,excellence,2002-5-1,17426171,698370635,151
66,558,7,580,gary,2012-4-3,95591542,72360709,400
67,770,9,290,four,1994-2-17,131445177,675629740,485
68,320,7,356,las,1992-4-18,164529045,437644336,238
69,476,3,972,logical,1997-8-9,45403139,412482960,421
70,440,8,284,medication,2018-9-15,204686354,956985902,295
71,24,7,429,idaho,1993-11-19,183521895,720600547,263
72,922,6,602,fear,1999-10-12,55318263,802385455,310
73,706,6,984,dispatched,1999-9-7,139480557,635141245,218
74,914,7,55,holdem,2003-2-14,71445643,570047230,399
75,976,7,60,studios,2009-10-13,158671800,310574598,491
76,163,9,736,pt,1996-2-25,118819542,196712341,216
77,479,5,559,meter,2015-4-28,43286589,490187089,258
78,974,6,611,mention,2016-11-28,107128491,145160491,455
